sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G4_FONT_SIZE_INCONSISTENCY""]",,,"[{""text"":""Title contains unfilled placeholder text"",""raw_type"":""OTHER""},{""text"":""Cluttered layout with insufficient spacing"",""raw_type"":""OTHER""},{""text"":""Excessive white space causing imbalance"",""raw_type"":""OTHER""},{""text"":""Low-quality wireframe style visuals"",""raw_type"":""OTHER""}]","Here is a list of problems with the slide:

*   **Incomplete Title:** The title at the top, ""ShipEye tracks every leg XX,"" ends with ""XX,"" which looks like a placeholder that was never filled in.
*   **Poor Layout and Spacing:** The three text boxes are stacked vertically with very little space between them, creating a cluttered, list-like appearance rather than a designed slide.
*   **Excessive W","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Title contains unfilled placeholder text""}, {""type"": ""OTHER"", ""locator"": ""Cluttered layout with insufficient spacing""}, {""type"": ""OTHER"", ""locator"": ""Excessive white space causing imbalance""}, {""type"": ""OTHER"", ""locator"": ""Low-quality wireframe style visual",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,"[{""text"":""Title contains placeholder text XXX"",""raw_type"":""OTHER""},{""text"":""Points lack visual hierarchy, identical bars"",""raw_type"":""OTHER""},{""text"":""Low-quality design, unprofessional light-blue boxes"",""raw_type"":""OTHER""},{""text"":""Wasted space, bottom two-thirds empty"",""raw_type"":""OTHER""}]","Here is a list of problems with the slide:

*   **Placeholder Text:** The title contains the text ""XXX"" at the end (""ShipEye tracks every leg XXX""). This indicates the slide is a draft or template and is not finished.
*   **Poor Layout & Spacing:** The slide is extremely unbalanced. All content is clustered in the top-left corner, leaving the bottom two-thirds of the slide completely empty. This i","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Title contains placeholder text XXX""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Content clustered top-left, unbalanced layout""}, {""type"": ""OTHER"", ""locator"": ""Points lack visual hierarchy, identical bars""}, {""type"": ""OTHER"", ""locator"": ""Low-quality desig",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_4_0042__freeform,G1_TEXT_OVERFLOW,A,False,False,False,False,[],,,"[{""text"":""Placeholder text XX in title"",""raw_type"":""OTHER""},{""text"":""Inconsistent highlighting on word leg"",""raw_type"":""OTHER""},{""text"":""Poor visual hierarchy with large boxes"",""raw_type"":""OTHER""},{""text"":""Excessive whitespace below content"",""raw_type"":""OTHER""},{""text"":""Lack of visual interest or graphics"",""raw_type"":""OTHER""},{""text"":""Weak typography with no variation"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Placeholder Text in Title:** The title ""ShipEye tracks every leg **XX**"" contains the text ""XX"" at the end. This indicates unfinished work or a placeholder that was not removed.
*   **Inconsistent Highlighting:** In the title, only the word ""leg"" is highlighted with a light blue background, while the rest of the title is not. This l","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Placeholder text XX in title""}, {""type"": ""OTHER"", ""locator"": ""Inconsistent highlighting on word leg""}, {""type"": ""OTHER"", ""locator"": ""Poor visual hierarchy with large boxes""}, {""type"": ""OTHER"", ""locator"": ""Excessive whitespace below content""}, {""type"": ""OTHE",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""Title contains placeholder text XXX"",""raw_type"":""OTHER""},{""text"":""Excessive whitespace at bottom of slide"",""raw_type"":""OTHER""},{""text"":""Bullet points in disconnected rectangular boxes"",""raw_type"":""OTHER""},{""text"":""Lack of charts or icons"",""raw_type"":""OTHER""},{""text"":""Small font lacks bolding for key terms"",""raw_type"":""OTHER""},{""text"":""Generic layout resembling default tool output"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Placeholder Text:** The title contains the text ""XXX"" at the end (""ShipEye impact on on-time delivery XXX""). This indicates the slide is a draft or template and is not finalized.
*   **Excessive Whitespace:** The bottom 50% of the slide is completely empty. The content is clustered at the top, creating a poor visual balance and wast","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Title contains placeholder text XXX""}, {""type"": ""OTHER"", ""locator"": ""Excessive whitespace at bottom of slide""}, {""type"": ""OTHER"", ""locator"": ""Bullet points in disconnected rectangular boxes""}, {""type"": ""G5_BRAND_COLOR_VIOLATION"", ""locator"": ""Pale blue boxes",page
part2_logistics_visibility_3_G1_TEXT_OVERFLOW_32_0042__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""Placeholder text in slide title"",""raw_type"":""OTHER""},{""text"":""Excessive white space in layout"",""raw_type"":""OTHER""},{""text"":""Lack of visual hierarchy in bullets"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Placeholder Text / Incomplete Title:** The title at the top left reads ""**XXX** ShipEye tracks every leg."" The ""XXX"" is clearly a placeholder that was never replaced with the actual slide number or section identifier.
*   **Excessive White Space (Poor Layout):** The slide is extremely unbalanced. All content is clustered in the top ","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Placeholder text in slide title""}, {""type"": ""OTHER"", ""locator"": ""Excessive white space in layout""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Inconsistent vertical spacing between boxes""}, {""type"": ""G5_BRAND_COLOR_VIOLATION"", ""locator"": ""Low-contrast ghos",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_32_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G5_BRAND_COLOR_VIOLATION""]","{""element"":""Title text spills out of box"",""quote"":""""}",,"[{""text"":""Excessive white space on slide"",""raw_type"":""OTHER""},{""text"":""Lack of visual hierarchy in list"",""raw_type"":""OTHER""},{""text"":""Inconsistent vertical spacing between boxes"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Placeholder Text / Incomplete Title:** The title at the top left, ""XXX ShipEye impact on on-time delivery,"" contains ""XXX"" at the beginning. This indicates a missing company name, project code, or section identifier, making the slide look unfinished.
*   **Broken/Orphaned Text Box:** The title text is contained within a light blue r","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title text spills out of box""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Content boxes misaligned with title""}, {""type"": ""OTHER"", ""locator"": ""Excessive white space on slide""}, {""type"": ""OTHER"", ""locator"": ""Lack of visual hierarchy in list""}, {",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__template,G1_TEXT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]",,,"[{""text"":""Title contains placeholder text XX"",""raw_type"":""OTHER""},{""text"":""Excessive whitespace at bottom"",""raw_type"":""OTHER""},{""text"":""Weak unemphatic standard font"",""raw_type"":""OTHER""},{""text"":""Missing visuals for impact data"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Placeholder Text:** The title contains ""XX"" at the end (""ShipEye impact on on-time delivery XX""). This indicates the slide is a draft or template and the specific metric or date was never filled in.
*   **Excessive Whitespace:** The bottom 50% of the slide is completely empty. The content is clustered at the top, creating a poor vis","{""defects"": [{""type"": ""OTHER"", ""locator"": ""Title contains placeholder text XX""}, {""type"": ""OTHER"", ""locator"": ""Excessive whitespace at bottom""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locator"": ""Bullet points identical to title""}, {""type"": ""G5_BRAND_COLOR_VIOLATION"", ""locator"": ""Low contrast washed",page
part2_logistics_visibility_4_G1_TEXT_OVERFLOW_4_0043__freeform,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""S1_TITLE_BODY_MISMATCH""]","{""element"":""Title text cut off in narrow box"",""quote"":""""}",,"[{""text"":""Unreplaced placeholder text XX in title"",""raw_type"":""OTHER""},{""text"":""Excessive white space at bottom"",""raw_type"":""OTHER""},{""text"":""Poor list design with full-width bars"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Title Box Overflow:** The title text ""ShipEye impact on on-time delivery XX"" is contained within a light gray box that is too narrow. The text ""XX"" is cut off or pushed to the very edge, and the box itself looks like a leftover text box from a template rather than a designed title bar.
*   **Placeholder Text:** The title ends with ""","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title text cut off in narrow box""}, {""type"": ""OTHER"", ""locator"": ""Unreplaced placeholder text XX in title""}, {""type"": ""OTHER"", ""locator"": ""Excessive white space at bottom""}, {""type"": ""OTHER"", ""locator"": ""Poor list design with full-width bars""}, {",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_32_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]","{""element"":""Title highlighting box cuts off abruptly"",""quote"":""""}",,"[{""text"":""Title contains placeholder text XXX"",""raw_type"":""OTHER""},{""text"":""Letter P visually broken or corrupted"",""raw_type"":""OTHER""},{""text"":""Content clustered top 20%, bottom empty"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Title Text Overflow:** In the top-left corner, the title ""A pragmatic ShipEye plan XXX"" is poorly formatted. The text ""XXX"" is not highlighted like the rest of the title, and the highlighting box cuts off abruptly, leaving the ""XXX"" hanging outside the intended design element.
*   **Placeholder Text:** The title ends with ""XXX,"" whi","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title highlighting box cuts off abruptly""}, {""type"": ""OTHER"", ""locator"": ""Title contains placeholder text XXX""}, {""type"": ""OTHER"", ""locator"": ""Letter P visually broken or corrupted""}, {""type"": ""OTHER"", ""locator"": ""Content clustered top 20%, botto",page
part2_logistics_visibility_5_G1_TEXT_OVERFLOW_4_0044__freeform,G1_TEXT_OVERFLOW,A,False,False,True,True,"[""G1_TEXT_OVERFLOW"",""G4_FONT_SIZE_INCONSISTENCY""]","{""element"":""Title text overflowing container"",""quote"":""""}",,"[{""text"":""Placeholder text XX in title"",""raw_type"":""OTHER""},{""text"":""Excessive whitespace below text boxes"",""raw_type"":""OTHER""},{""text"":""Poor visual hierarchy in points"",""raw_type"":""OTHER""},{""text"":""Lack of visual interest and icons"",""raw_type"":""OTHER""}]","Here is a breakdown of the problems visible on this slide:

*   **Title Text Overflow:** In the top-left corner, the title text ""XX A pragmatic ShipEye plan"" is overflowing its container. The word ""plan"" is cut off and sits outside the light gray background box, creating a messy, broken look.
*   **Placeholder Text:** The title begins with ""XX,"" which appears to be a placeholder or a typo that was","{""defects"": [{""type"": ""G1_TEXT_OVERFLOW"", ""locator"": ""Title text overflowing container""}, {""type"": ""OTHER"", ""locator"": ""Placeholder text XX in title""}, {""type"": ""OTHER"", ""locator"": ""Excessive whitespace below text boxes""}, {""type"": ""OTHER"", ""locator"": ""Poor visual hierarchy in points""}, {""type"": ""G4",page
