sample_id,defect,modality,is_clean,failure,has_defect,named_target,predicted_types,locator,confidence,other,raw,stage2_raw,level
g7_card_height_003,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY""]",,,[],"The slide has several design and layout issues that make it look unprofessional and cluttered:

1.  **Redundant Title:** The main title ""Q3 Go-to-Market Plan"" at the top of the slide is identical to the sub-header inside the green box. This is unnecessary and wastes valuable space.
2.  **Poor List Organization:** The bulleted list is split into two distinct sections. The first five items are conta","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title and sub-header are redundant.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items are split across containers.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap breaks content flow.""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ",page
g7_card_height_010,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,"[{""text"":""Cluttered layout with inefficient space"",""raw_type"":""G4_DENSITY_RULE_VIOLATION""}]","The slide has several design and layout issues that make it look unprofessional and confusing:

1.  **Redundant Title:** The main title ""Solution Overview"" at the top of the slide is repeated inside the content box. This is unnecessary and creates visual clutter.
2.  **Poor List Hierarchy:** The bulleted list is split into two distinct groups (one inside the box, one outside), but they are present","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title repeated inside content box""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List split into disjointed groups""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap disrupts reading order""}, {""type"": ""G4_DENSITY_RULE_VIOLATION"", ""locato",page
g7_card_height_001,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET""]",,,[],"The slide has several design and layout issues that make it look unpolished and confusing:

1.  **Redundant Title:** The main title ""Platform Architecture"" at the top is identical to the sub-header inside the green box. This is unnecessary and creates visual clutter.
2.  **Inconsistent List Structure:** The list of items is split into two groups. The first five items (""Ingestion service"" through ""","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title and sub-header are redundant.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items are split into two groups.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Text is not aligned to the left margin.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ",page
g7_card_height_006,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]",,,[],"The slide has several design and layout issues that make it look unprofessional and hard to read:

1.  **Redundant Title:** The main title ""Platform Architecture"" at the top is repeated inside the content box. This is unnecessary and creates visual clutter.
2.  **Poor List Hierarchy:** The list items are split into two groups (inside and outside the box) without any visual distinction or logical g","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title repeated inside content box""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""List items split without visual grouping""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap breaks list flow""}, {""type"": ""G5_BRAND_COLOR_VIOLATION"", ""locator",page
g7_card_height_008,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY""]",,,[],"The slide has several design and layout issues that make it look unprofessional and confusing:

1.  **Redundant Title:** The main title ""Q3 Go-to-Market Plan"" at the top of the slide is identical to the heading inside the content box. This is unnecessary and wastes valuable space.
2.  **Poor Visual Hierarchy & Grouping:** The list of bullet points is split into two distinct groups. The first five ","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title and heading are redundant.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items are split into groups.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap disrupts list flow.""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locator"":",page
g7_card_height_011,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""S4_DENSITY_RULE_VIOLATION"",""S5_MISSING_LOGIC_SECTION""]",,,[],"Looking at this slide, here are the issues:

1. **Title duplication**: The main title ""Risk Register"" appears both as the slide header and again inside the content box. This is redundant and confusing.

2. **Inconsistent grouping**: The first five items are contained within a blue-bordered box, while the last three items (""Latency regressions"", ""Cost overrun"", ""Change-management gaps"") are outside","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Items outside the box are displaced from the group.""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locator"": ""No differentiation in size or formatting for items.""}, {""type"": ""S4_DENSITY_RULE_VIOLATION"", ""locator"": ""Large empty area inside the box ",page
g7_card_height_002,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY""]",,,[],"Looking at this slide, here are the issues:

1. **Title duplication**: The main title ""Risk Register"" appears both as the slide header and again inside the green box. This is redundant and confusing.

2. **Inconsistent grouping**: The list items are split into two groups - those inside the green box and those outside. There's no visual or logical reason for this split, making the content appear fr","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title duplicated in header and box""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items split into inconsistent groups""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locator"": ""Text inside and outside box same size""}, {""type"": ""G4_FONT_SIZE_I",page
g7_card_height_005,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY""]",,,[],"The slide has several design and layout issues that make it look unprofessional and confusing:

1.  **Redundant Title:** The main title ""Implementation Roadmap"" at the top of the slide is repeated inside the content box. This is unnecessary and creates visual clutter.
2.  **Poor List Hierarchy:** The list of roadmap items is broken into two groups. The first five items are inside a colored box, wh","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title repeated inside content box""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""List items split into two groups""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap breaks visual list flow""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locato",page
g7_card_height_000,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]",,,[],"The slide has several design and layout issues that make it look unprofessional and confusing:

1.  **Redundant Title:** The main title ""Solution Overview"" at the top of the slide is repeated inside the content box. This is unnecessary and creates visual clutter.
2.  **Poor List Hierarchy:** The bulleted list is split into two distinct groups (one inside the box, one outside), but they are present","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title repeated inside content box""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""List split into disjointed groups""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Large gap between list items""}, {""type"": ""G4_FONT_SIZE_INCONSISTENCY"", ""locator"": ",page
g7_card_height_009,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G2_ELEMENT_OVERLAP"",""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION""]",,,[],"Looking at this slide, here are the issues:

1. **Title duplication**: The main title ""Risk Register"" appears both as the slide header and again inside the content box. This is redundant and confusing.

2. **Inconsistent grouping**: The first five items are contained within a blue-bordered box, while the last three items (""Latency regressions"", ""Cost overrun"", ""Change-management gaps"") are outside","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Title duplicated in header and content box""}, {""type"": ""G2_ELEMENT_OVERLAP"", ""locator"": ""Items split between boxed and unboxed groups""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Poor visual hierarchy between title and content""}, {""type"": ""G",page
g7_card_height_007,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,True,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION"",""G7_RENDER_CONTAINMENT_OVERFLOW"",""S1_TITLE_BODY_MISMATCH""]","{""element"":""Arbitrary border styling adds visual clutter."",""quote"":""""}",,[],"The slide has several design and layout issues that reduce its professionalism and clarity:

1. **Title duplication**: The main title ""Success Metrics"" at the top is repeated inside the beige box as a subheading. This is redundant and visually confusing — the audience doesn’t need to see the same phrase twice in different contexts.

2. **Inconsistent grouping**: The list items are split into two g","{""defects"": [{""type"": ""S1_TITLE_BODY_MISMATCH"", ""locator"": ""Title repeated inside box is redundant.""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items split into unjustified groups.""}, {""type"": ""G5_BRAND_COLOR_VIOLATION"", ""locator"": ""Orange border highlights only half content.""}, {""type"": ""G4",page
g7_card_height_004,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G4_FONT_SIZE_INCONSISTENCY"",""G5_BRAND_COLOR_VIOLATION"",""G6_MARGIN_VIOLATION"",""S1_TITLE_BODY_MISMATCH""]",,,[],"The slide has several design and layout issues that make it look unprofessional and cluttered:

1. **Redundant Title** – The main title “Solution Overview” at the top is repeated inside the green box as a subheader. This is unnecessary and creates visual confusion. It should be removed from the box or replaced with a more specific label (e.g., “Core Features”).

2. **Inconsistent Grouping** – The ","{
  ""defects"": [
    {""type"": ""S1_TITLE_BODY_MISMATCH"", ""locator"": ""Redundant title inside the box""},
    {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Split bullet list breaks flow""},
    {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Unnecessary box creates imbalance""},
    {""type"": ""G4_FONT_SIZE_INCON",page
g7_card_height_014,G7_RENDER_CONTAINMENT_OVERFLOW,A,False,False,True,False,"[""G3_ALIGNMENT_OFFSET"",""G6_MARGIN_VIOLATION""]",,,[],"The slide has several design and layout issues that make it look unpolished and confusing:

1.  **Redundant Title:** The main title ""Platform Architecture"" at the top is repeated inside the content box. This is unnecessary and creates visual clutter.
2.  **Inconsistent List Structure:** The bulleted list is split into two distinct groups. The first five items are contained within a box, while the ","{""defects"": [{""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""List items outside box misaligned with inside list""}, {""type"": ""G6_MARGIN_VIOLATION"", ""locator"": ""Significant white space above main content box""}, {""type"": ""G3_ALIGNMENT_OFFSET"", ""locator"": ""Layout feels unbalanced due to poor spacing and ali",page
